,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-01-01,124371.6141295805,194462.55289956921,107057.83347910718,152120.94458847705,168534.3192041293,112076.35499153608,116176.37439068785,195547.6316234103,135107.47436890026,177731.29204588968,178069.67783470798,126626.12930256379,163853.0988289718,154457.36755149468,199223.91678482664,133435.25861278738,170380.8726749611,123778.99807645216,,125566.84054347228,103617.99947941581,152555.6744823772,97998.20518150601,112825.43729091155,128999.25383996184,112562.11753087823,110339.84229660415,153131.05198972425,,131779.58936560093,133161.4146367153,106393.832796091,99546.26732609844,119260.98535472284,86433.7542186543,86642.06773274399,98399.66897824507,73308.99613696063,122821.33213465782,,161668.99026294408,84394.1926737711,96502.72273546619,89330.6363520549,148751.16294931946,,81727.79325332578,107546.97263990446,115280.51709010419,90661.08182628453,105405.25459017196
2000-02-01,124693.44211446418,195116.1995832784,107289.73071210703,152662.64458118335,168988.6285893605,112137.26017787517,116240.3615640821,196200.50011632754,135352.19372456163,178132.18972293354,178701.95362879985,126727.60836447282,164389.02688359618,154476.67519939947,199131.743570678,133888.5590885282,170474.22149901476,124060.07877639661,,125989.50314434817,103817.86923981684,152534.51538974614,98207.81592082528,113074.51040986012,129195.50952949139,112750.59987423182,110431.8887537819,153467.80344406236,,132378.91166243656,133312.65787164244,106747.80702933396,99719.61320657069,119226.3722335089,86549.26881108926,86594.55049607062,98264.37170426507,73305.85811835882,122746.87595638158,,162284.90707996034,84437.76498113174,96615.83136189656,89348.17212471884,148982.5856204854,,81761.5061754486,107318.4708532937,115464.7977617406,90834.33089713057,105469.66676229256
2000-03-01,125034.65532455039,195998.78266575304,107570.83638303343,153184.1181816339,169422.1197797203,112166.80014741122,116474.6230122022,196977.31060017462,135667.15203026397,178541.14104618528,179400.68379269112,126946.95990998116,165149.4535296379,154715.7334147332,199437.51209794372,134429.69061446338,170620.77893812652,124384.39896211059,,126382.74189517139,103973.18484285955,152642.60586270769,98404.79371055322,113277.4672039812,129397.64894916042,113046.60485107273,110525.76605229588,153775.44951582662,,133008.29865958903,133463.82200688307,107063.86081687499,99835.75831908164,119359.7930363185,86680.32984432025,86592.48330731045,98112.41114845367,73329.55384468909,122794.05055078217,,162928.0266113874,84517.04301113407,96785.17333602165,89451.48300467171,149270.7276767867,,81918.6529064025,106998.69950991751,115635.5920518291,90997.88528219273,105567.35123580239
2000-04-01,125679.43481019801,197914.60737747766,108142.25191020372,154305.66613493368,170382.53335390633,112313.40963571279,116941.27089555812,198507.2996958395,136310.2787384294,179366.50936508388,180963.01931964152,127462.98152673652,166779.96473250166,155263.5776766774,199967.91985018775,135242.00404591637,170988.4940900536,125067.23531159095,,127305.82160429098,104323.33514178391,152903.43137199697,98806.2045149457,113742.71586804262,129836.12505419191,113628.23717399221,110751.6274157021,154421.0244328299,,134251.86466289402,133641.10220591552,107760.14550847876,100095.95814726116,119551.39806363366,86960.16632935042,86654.94765734219,97650.46748389753,73389.5291329907,122891.99557825974,,164017.59774968188,84714.05616807735,97172.2510801525,89605.92557989359,149929.70203162835,,82204.80886483222,106567.68203495147,115900.71661560827,91351.15827900912,105854.59714377712
2000-05-01,126301.89877710091,200141.46500293072,108758.46197970625,155466.06734869562,171361.5994794199,112408.35623948637,117629.4403316292,200163.43754343697,137039.27195813667,180267.34698928057,182706.85663253054,128075.25730540381,168589.53043276016,155961.67770812477,201006.94374920402,136131.12766708006,172321.11183098718,125820.3766071797,,128318.45899459386,104694.31582531171,153449.2442240575,99218.55391953222,114177.09801693501,130324.61180036927,114298.04459668389,111012.16607720409,154996.73991897205,,135491.0221827726,133907.98365538075,108416.04929914717,100386.1687763476,119933.66523546675,87236.17194643138,86958.91059362034,97427.26631783486,73506.53790351727,123211.37666210059,,164912.93637090494,84975.89212057758,97672.24333998525,89838.73393443506,150681.29161333924,,82589.16081797614,106388.36617047705,116035.16379640756,91741.47039123935,106292.57572340139
2000-06-01,126902.9978332169,202544.23791192114,109387.1947858511,156720.78196707438,172530.1049908656,112514.8144961298,118385.25724975612,201957.83224394303,137693.47079663174,181127.31507257253,184589.9231411837,128763.37716866758,170533.25023640445,156588.39923477013,202180.3598272435,137070.40013314213,173790.24455853293,126618.4528819564,,129489.2596659818,105098.43359986384,154109.1635827649,99642.33755271464,114655.57766099584,130844.24194612184,114923.45096987672,111270.73912369543,155531.12091726618,,136435.1662770081,134107.49358682404,109152.39701704412,100737.04505512606,120382.32304690465,87501.15935576342,87393.79723657179,97493.1952290568,73700.91616536821,123601.71428421377,,165799.74806849088,85263.72709223088,98224.76641415624,90101.33606650172,151510.48755961537,,82953.53470892388,106265.49723735046,116114.72593694179,92135.43086006555,106836.01594562012
2000-07-01,127632.66828860449,205081.73772529897,110018.91747230763,157848.76595466604,173852.37671122793,112584.77404229481,119267.01854301481,204081.26830887274,138358.726769818,182061.58135084124,186497.9543229558,129509.73846118587,172378.56510134554,157074.13942107622,203353.82604723508,138373.9143711785,175263.0207323013,127424.8876081,,130777.11071348058,105493.50540836163,154890.19023358132,100092.36963407311,115119.89733715884,131351.66882483862,115546.41917608259,111550.43961696092,155976.0560299403,,137298.04953187468,134523.80727914363,109944.23722374368,101061.94309472507,120976.47081496537,87757.28820073309,87795.42721370807,97972.29802655113,73956.34909399405,123987.72569312547,,166790.89384037393,85588.25329988771,98825.4619590611,90442.92322621837,152354.16004853175,,83330.84602216944,106179.8140549815,116206.87739229413,92535.51283462923,107373.23625846558
2000-08-01,128493.12293095693,207731.0215246144,110662.29463712474,158836.12429717902,175459.12486232503,112791.74187001125,120157.08882303808,206694.37815771168,138997.7596833232,182924.84750896125,188569.2087616493,130572.09443430156,173965.86161989407,157542.1246670859,204711.65506513623,139901.00497419856,175869.6571933454,128277.33986775903,,132540.91174198082,105805.88716819607,155614.98360410848,100521.97398381207,115631.03923426887,131830.17967036253,116190.48617714352,111839.12182246595,156451.28891319133,,138162.68495893385,134719.61544938537,110768.01208159588,101355.55353402112,121633.14222495582,88048.67387868704,88177.950186249,98460.63707134697,74290.47442374521,124377.58427650243,,167989.97438041153,85959.502052295,99473.2022001039,90813.85640495525,153175.1185335761,,83682.08555028966,106022.38186641112,116427.41418464652,92877.64153896947,107895.37816478476
2000-09-01,129433.4462995573,210386.45332426182,111329.15964390161,159713.487002439,177235.8615959131,113063.14961479684,121007.81333925996,209630.69242466494,139704.52591168412,183710.6279723451,190743.53621803023,131821.44381073723,175158.16287925412,158105.36243888133,206053.81817847033,141541.6074098193,176400.0770579795,129148.5941624709,,134364.32153888277,106161.65843151946,156355.73617684192,100959.70055491982,116158.7238393649,132297.22609587162,116902.52369216632,112184.0283662554,156850.8984426078,,139228.01658318416,134898.2364060939,111625.28062008023,101670.50369807589,122290.94131505369,88378.24479194645,88518.70834345136,98842.23617862746,74589.6598538548,124703.95100906862,,169252.4931595291,86371.55577143222,100125.39025033887,91161.30852031273,153932.94145390877,,84001.36846121903,106241.70758933452,116696.80071779374,93234.5204751041,108408.41782076505
2000-10-01,130323.14483001165,212904.6642399221,112009.92474791256,160653.90439542342,179032.46871255478,113353.96823044405,121802.35495958843,212732.47578858864,140385.50849565642,184394.85723438975,192903.1859215676,133263.42068856096,175461.92910216728,158738.58633208636,207458.84510608274,143429.25530637323,176848.1018700277,130054.1186391386,,136230.41764864442,106582.9653731616,157137.44748918668,101379.49641159445,116678.11836252671,132790.99683515253,117759.39545964172,112518.0635530238,157252.30437609632,,140295.82851646794,134840.96966353236,112435.76300186389,102031.89391126379,122935.02285099735,88709.33320942626,88991.49421946517,99309.41172141186,74934.72905205192,125019.0895325396,,170634.1218735459,86756.50614638662,100818.70318508596,91516.53367425689,154609.67840477944,,84286.71037353379,106487.53572016145,116979.66402071812,93674.36431790392,108904.02199349034
